model,strategy,lag,event_q,cagr,sharpe,vol_anual,max_drawdown,turnover,n_trades,hit_rate,exposure,total_cost
logreg_l2,long_only_60,0,0.9,-0.032,-0.080,0.184,-0.455,160.000,160,0.101,0.192,0.080
rf_200,long_only_60,0,0.9,-0.042,-0.132,0.188,-0.500,116.000,115,0.101,0.197,0.058
logreg_l2,long_only_60,0,0.95,-0.033,-0.099,0.177,-0.455,100.000,100,0.063,0.118,0.050
rf_200,long_only_60,0,0.95,-0.021,-0.029,0.178,-0.456,66.000,66,0.071,0.138,0.033
logreg_l2,long_only_60,1,0.9,-0.012,0.033,0.186,-0.462,160.000,160,0.100,0.192,0.080
rf_200,long_only_60,1,0.9,-0.004,0.073,0.186,-0.371,116.000,115,0.101,0.197,0.058
logreg_l2,long_only_60,1,0.95,-0.051,-0.200,0.179,-0.461,100.000,100,0.059,0.118,0.050
rf_200,long_only_60,1,0.95,0.007,0.130,0.179,-0.360,66.000,66,0.071,0.138,0.033
logreg_l2,long_only_60,2,0.9,-0.024,-0.038,0.184,-0.463,160.000,160,0.096,0.192,0.080
rf_200,long_only_60,2,0.9,0.039,0.307,0.177,-0.305,116.000,115,0.100,0.197,0.058
logreg_l2,long_only_60,2,0.95,-0.050,-0.201,0.175,-0.470,100.000,100,0.057,0.118,0.050
rf_200,long_only_60,2,0.95,0.051,0.383,0.169,-0.305,66.000,66,0.071,0.138,0.033
